# file generated by the official demo


# nb housing
50
# housing:
	1 -294,466400 716,928062 1000
	2 -169,443817 256,917191 1000
	3 605,519867 336,911011 1000
	4 228,035431 -225,572205 1000
	5 -554,472198 -345,544434 1000
	6 -571,976776 -105,562897 1000
	7 -576,957169 69,435120 1000
	8 -194,492340 -50,574188 1000
	9 -124,473877 -275,545197 1000
	10 -144,468689 -460,537872 1000
	11 385,503693 -550,563354 1000
	12 647,999725 -563,047333 1000
	13 720,508423 -340,565643 1000
	14 588,015289 -200,567169 1000
	15 530,521088 -78,068542 1000
	16 735,522766 16,935730 1000
	17 553,005981 141,923752 1000
	18 303,034210 86,934967 1000
	19 338,043518 -140,562592 1000
	20 485,550995 -330,571136 1000
	21 245,540009 -408,038483 1000
	22 105,503082 -668,046265 1143
	23 -219,467468 -835,539093 1000
	24 -499,468079 -868,049316 1000
	25 -701,979675 -775,534363 1000
	26 -451,934662 -653,035736 1000
	27 -386,969910 -750,529327 1000
	28 -334,456024 -553,052826 1000
	29 -711,940460 -543,058167 1000
	30 -844,433594 -485,542908 1000
	63 -826,928940 -180,578003 1000
	64 -541,947937 -660,540924 1000
	65 -879,442825 -795,523529 1000
	66 -76,940460 -923,038177 1000
	67 -311,970978 -78,068542 1000
	68 -84,484253 56,914062 1000
	69 265,534821 204,417725 1000
	70 525,540619 284,411545 1000
	71 813,011780 534,424744 1000
	72 473,026733 734,427872 1000
	73 218,001404 904,410095 1000
	74 -269,491119 809,405823 1000
	75 -659,426651 659,412766 1000
	76 -344,490051 629,429016 1000
	77 63,023224 621,923828 1000
	78 68,003693 474,420090 1000
	79 -781,958923 419,431305 1000
	80 -876,952591 281,922226 1000
	81 -926,903000 79,429703 1000
	82 -921,922607 -245,561371 1000

# nb transport
6
# transport:
	31 50,499115 -53,063507 1000
	32 -49,474945 149,428940 1000
	33 195,516357 421,920700 1000
	34 -176,987762 504,403839 1000
	35 -556,962357 374,437103 1000
	36 38,048096 -255,556030 1000

# nb production
26
# production:
	37 308,014679 -30,547791 1000
	38 360,528564 274,416962 1000
	39 105,503082 246,922607 1000
	40 150,546417 46,919479 1000
	41 -379,425964 104,434738 1000
	42 -359,431152 391,936951 1000
	43 -449,444427 554,413910 1000
	44 -359,431152 226,933441 1000
	45 -714,430695 -50,574188 1000
	46 -279,451904 -463,064423 1000
	47 -204,453125 -685,545959 1000
	48 370,489349 -845,533600 1000
	49 718,018188 -768,029175 1000
	50 283,039398 -640,551758 1000
	51 348,004303 -280,561066 1000
	52 790,526733 -185,556793 1000
	53 820,482483 214,412308 1000
	54 442,997894 621,923828 1000
	55 -19,446106 721,906776 1000
	56 630,495148 609,402695 1000
	57 573,000793 859,415894 1000
	58 188,045807 799,411240 1000
	59 228,035431 614,418564 1000
	60 385,503693 434,404602 1000
	61 -56,945648 446,925735 1000
	62 -746,949692 166,928787 1000

# nb link
68
	1 34
	2 34
	2 41
	3 71
	3 53
	4 19
	4 21
	4 36
	5 26
	5 29
	5 30
	6 7
	6 10
	6 28
	7 67
	7 35
	8 67
	8 41
	10 22
	15 53
	16 53
	17 18
	17 70
	17 38
	18 69
	18 40
	19 37
	19 51
	22 23
	22 28
	23 24
	24 25
	24 27
	26 27
	27 28
	30 63
	63 82
	45 63
	41 67
	41 68
	33 69
	38 69
	33 70
	60 70
	53 71
	34 74
	35 75
	34 76
	35 79
	80 81
	35 80
	45 81
	62 81
	31 39
	32 34
	32 39
	32 41
	33 39
	34 42
	34 61
	35 41
	35 42
	35 43
	35 44
	35 62
	41 44
	42 61
	52 53

